rank,word,count,relative_frequency
1,the,4663,0.036269591257340646
2,to,4325,0.03364057091743476
3,of,3844,0.029899272741414847
4,and,3767,0.02930035390658422
5,her,2284,0.01776533271108
6,i,2122,0.01650526970792984
7,a,2038,0.015851903706296425
8,in,1994,0.015509664372107494
9,was,1875,0.014584062536460156
10,she,1751,0.013619569867382258
11,that,1646,0.012802862365340489
12,it,1590,0.012367285030918213
13,not,1500,0.011667250029168125
14,you,1376,0.010702757360090227
15,he,1358,0.010562750359740209
16,his,1303,0.010134951192004044
17,be,1264,0.009831602691245674
18,as,1229,0.00955936685723175
19,had,1186,0.00922490568972893
20,with,1103,0.008579317854781629
21,for,1096,0.008524870687978843
22,but,1038,0.008073737020184343
23,is,926,0.00720258235133979
24,have,879,0.006837008517092521
25,at,816,0.00634698401586746
26,mr,808,0.006284758682378563
27,him,777,0.0060436355151090885
28,on,734,0.005709174347606269
29,my,728,0.005662505347489597
30,by,699,0.005436938513592346
31,s,672,0.00522692801306732
32,all,651,0.005063586512658967
33,elizabeth,645,0.005016917512542293
34,they,610,0.004744681678528371
35,so,607,0.004721347178470035
36,were,570,0.004433555011083888
37,which,568,0.004417998677711663
38,been,536,0.004169097343756077
39,could,531,0.004130206510325516
40,from,510,0.0039668650099171626
41,no,509,0.003959086843231051
42,very,504,0.00392019600980049
43,what,493,0.003834636176253257
44,would,485,0.0037724108427643604
45,this,466,0.003624625675728231
46,me,462,0.0035935130089837825
47,their,456,0.00354684400886711
48,your,455,0.0035390658421809978
49,them,445,0.003461284175319877
50,darcy,432,0.00336016800840042
51,will,428,0.0033290553416559718
52,said,406,0.0031579356745615058
53,such,397,0.0030879321743864973
54,when,389,0.0030257068408976007
55,an,378,0.0029401470073503674
56,there,372,0.002893478007233695
57,are,370,0.002877921673861471
58,if,366,0.0028468090071170223
59,mrs,354,0.0027534710068836776
60,do,352,0.0027379146735114534
61,bennet,339,0.0026367985065919963
62,much,337,0.002621242173219772
63,more,337,0.002621242173219772
64,am,333,0.002590129506475324
65,or,326,0.0025356823396725393
66,miss,315,0.002450122506125306
67,must,315,0.002450122506125306
68,bingley,310,0.002411231672694746
69,jane,302,0.002349006339205849
70,than,300,0.002333450005833625
71,who,298,0.002317893672461401
72,one,295,0.0022945591724030647
73,any,283,0.0022012211721697196
74,did,280,0.0021778866721113834
75,we,266,0.002068992338505814
76,should,258,0.0020067670050169174
77,has,256,0.001991210671644693
78,know,244,0.0018978726714113483
79,though,238,0.001851203671294676
80,herself,236,0.0018356473379224517
81,how,235,0.0018278691712363395
82,well,230,0.001788978337805779
83,never,230,0.001788978337805779
84,before,228,0.001773422004433555
85,only,225,0.0017500875043752187
86,other,222,0.0017267530043168825
87,think,222,0.0017267530043168825
88,can,220,0.0017111966709446582
89,soon,217,0.001687862170886322
90,sister,217,0.001687862170886322
91,now,215,0.001672305837514098
92,some,214,0.0016645276708279859
93,good,209,0.0016256368373974255
94,might,206,0.0016023023373390893
95,may,206,0.0016023023373390893
96,after,205,0.0015945241706529772
97,time,201,0.0015634115039085288
98,wickham,200,0.0015556333372224167
99,most,199,0.0015478551705363046
100,lady,198,0.0015400770038501925
101,own,196,0.0015245206704779684
102,little,192,0.0014934080037335201
103,collins,190,0.0014778516703612958
104,nothing,187,0.0014545171703029597
105,every,185,0.0014389608369307354
106,being,182,0.0014156263368723992
107,again,182,0.0014156263368723992
108,without,177,0.0013767355034418388
109,then,177,0.0013767355034418388
110,lydia,176,0.0013689573367557267
111,make,171,0.0013300665033251662
112,illustration,163,0.0012678411698362696
113,dear,163,0.0012678411698362696
114,shall,163,0.0012678411698362696
115,first,160,0.0012445066697779332
116,say,160,0.0012445066697779332
117,man,158,0.0012289503364057092
118,room,153,0.0011900595029751488
119,family,153,0.0011900595029751488
120,see,153,0.0011900595029751488
121,great,148,0.0011511686695445883
122,day,148,0.0011511686695445883
123,too,146,0.001135612336172364
124,two,145,0.0011278341694862522
125,into,145,0.0011278341694862522
126,out,144,0.00112005600280014
127,mother,137,0.0010656088359973553
128,however,136,0.0010578306693112434
129,ever,136,0.0010578306693112434
130,father,135,0.0010500525026251313
131,himself,133,0.001034496169252907
132,young,133,0.001034496169252907
133,made,132,0.001026718002566795
134,catherine,132,0.001026718002566795
135,about,129,0.0010033835025084587
136,give,127,0.0009878271691362347
137,us,127,0.0009878271691362347
138,always,126,0.0009800490024501226
139,hope,125,0.0009722708357640104
140,its,123,0.0009567145023917863
141,many,121,0.0009411581690195621
142,away,121,0.0009411581690195621
143,long,119,0.000925601835647338
144,last,119,0.000925601835647338
145,letter,118,0.0009178236689612258
146,way,115,0.0008944891689028896
147,up,115,0.0008944891689028896
148,friend,115,0.0008944891689028896
149,cannot,114,0.0008867110022167775
150,thought,112,0.0008711546688445534
151,enough,111,0.0008633765021584412
152,house,110,0.0008555983354723291
153,go,107,0.0008322638354139929
154,felt,106,0.0008244856687278808
155,sure,106,0.0008244856687278808
156,replied,103,0.0008011511686695446
157,love,102,0.0007933730019834325
158,saw,102,0.0007933730019834325
159,indeed,100,0.0007778166686112084
160,quite,98,0.0007622603352389842
161,better,98,0.0007622603352389842
162,wish,98,0.0007622603352389842
163,come,98,0.0007622603352389842
164,myself,97,0.0007544821685528721
165,manner,97,0.0007544821685528721
166,lizzy,97,0.0007544821685528721
167,gardiner,97,0.0007544821685528721
168,till,96,0.0007467040018667601
169,over,95,0.0007389258351806479
170,even,95,0.0007389258351806479
171,pleasure,94,0.0007311476684945358
172,came,94,0.0007311476684945358
173,having,94,0.0007311476684945358
174,done,93,0.0007233695018084238
175,where,93,0.0007233695018084238
176,oh,93,0.0007233695018084238
177,feelings,92,0.0007155913351223116
178,often,92,0.0007155913351223116
179,does,91,0.0007078131684361996
180,really,91,0.0007078131684361996
181,cried,91,0.0007078131684361996
182,believe,90,0.0007000350017500875
183,perhaps,89,0.0006922568350639755
184,like,89,0.0006922568350639755
185,chapter,89,0.0006922568350639755
186,whom,88,0.0006844786683778633
187,aunt,88,0.0006844786683778633
188,longbourn,88,0.0006844786683778633
189,subject,87,0.0006767005016917512
190,charlotte,87,0.0006767005016917512
191,heard,87,0.0006767005016917512
192,daughter,84,0.000653366001633415
193,take,83,0.0006455878349473029
194,ladies,83,0.0006455878349473029
195,happy,83,0.0006455878349473029
196,anything,81,0.0006300315015750788
197,less,81,0.0006300315015750788
198,whole,80,0.0006222533348889666
199,while,80,0.0006222533348889666
200,seen,79,0.0006144751682028546
